City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
176,Kruisfontein,ZA,-34.0033,24.7314,68.88,91,100,3.56,light rain
177,Hong Kong,HK,22.2855,114.1577,54.32,39,100,5.01,overcast clouds
178,Mandera,KE,3.9366,41.867,87.48,22,17,9.33,few clouds
179,Matara,LK,5.9485,80.5353,75.11,86,100,6.51,overcast clouds
180,Yumen,CN,40.2833,97.2,9.61,63,0,5.53,clear sky
181,Hamilton,US,39.1834,-84.5333,35.04,68,100,13.8,overcast clouds
182,Namatanai,PG,-3.6667,152.4333,78.55,84,100,3.69,light rain
183,Klaksvík,FO,62.2266,-6.589,31.12,75,100,27.98,light snow
184,Tabas,IR,33.5959,56.9244,57.42,51,96,2.3,overcast clouds
185,Viedma,AR,-40.8135,-62.9967,92.1,16,4,18.05,clear sky
186,Norman Wells,CA,65.282,-126.8329,-5.76,77,40,11.5,light snow
187,Kumul,CN,42.8,93.45,18.48,39,0,3.22,clear sky
188,Stornoway,GB,58.2093,-6.3865,33.76,92,40,2.3,scattered clouds
189,Kaitangata,NZ,-46.2817,169.8464,50.45,97,100,5.5,overcast clouds
190,Camocim,BR,-2.9022,-40.8411,88.5,56,42,19.24,scattered clouds
191,Berlevåg,NO,70.8578,29.0864,17.55,73,70,1.14,broken clouds
192,Salinópolis,BR,-0.6136,-47.3561,84.47,66,59,11.81,broken clouds
193,Hilo,US,19.7297,-155.09,76.28,86,0,5.01,clear sky
194,Port Blair,IN,11.6667,92.75,82.44,74,75,4.61,mist
195,Kuznechnoye,RU,61.12,29.8686,4.84,99,86,3.98,overcast clouds
196,Phan Thiet,VN,10.9333,108.1,76.87,73,74,17.11,broken clouds
197,Kavieng,PG,-2.5744,150.7967,81.68,71,98,4.54,overcast clouds
198,Port Hardy,CA,50.6996,-127.4199,37.58,100,75,5.75,broken clouds
199,Abalak,RU,58.1286,68.5944,7.47,97,67,6.04,broken clouds
200,Cabo San Lucas,MX,22.8909,-109.9124,71.91,64,40,2.3,scattered clouds
201,Chunoyar,RU,57.4467,97.3217,-14.08,99,45,0.58,scattered clouds
202,Tuatapere,NZ,-46.1333,167.6833,52.48,96,100,3.69,light rain
203,Ipameri,BR,-17.7219,-48.1597,78.62,67,100,6.15,overcast clouds
204,Tottori-shi,JP,35.5,134.2333,37.04,98,100,14.07,light rain
205,Namwala,ZM,-15.7504,26.4384,67.91,93,100,2.57,overcast clouds
206,Magna,US,40.7091,-112.1016,25.9,70,20,9.22,few clouds
207,Darhan,MN,49.4867,105.9228,-3.44,91,42,5.1,scattered clouds
208,Maragogi,BR,-9.0122,-35.2225,83.95,57,92,12.3,overcast clouds
209,Pangnirtung,CA,66.1451,-65.7125,17.6,73,75,5.75,broken clouds
210,Sun Valley,US,39.5963,-119.776,33.3,83,100,6.91,overcast clouds
211,Corinth,GR,37.9407,22.9573,60.89,80,27,4.65,scattered clouds
212,Barnstaple,GB,51.0802,-4.0581,40.98,83,80,10.07,broken clouds
213,São João da Barra,BR,-21.6403,-41.0511,84.29,77,100,15.57,overcast clouds
214,Bouar,CF,5.934,15.596,76.59,21,21,5.1,few clouds
215,Erzin,TR,36.9559,36.2,60.55,64,19,4.07,few clouds
216,Yerbogachën,RU,61.2767,108.0108,-19.57,100,99,0.92,overcast clouds
217,Upernavik,GL,72.7868,-56.1549,10.33,58,100,5.57,overcast clouds
218,Sarai Naurang,PK,32.8259,70.7814,61.48,25,0,1.74,clear sky
219,Los Llanos de Aridane,ES,28.6585,-17.9182,65.95,83,75,3.44,broken clouds
220,Iqaluit,CA,63.7506,-68.5145,24.53,68,75,5.75,broken clouds
221,Hasaki,JP,35.7333,140.8333,42.22,88,100,12.88,light rain
222,Pangai,TO,-19.8,-174.35,79.02,74,1,8.05,clear sky
223,Abidjan,CI,5.3094,-4.0197,84.16,84,20,9.22,few clouds
224,Bereda,ES,43.2686,-7.5406,52.41,99,71,4.18,broken clouds
225,Jizan,SA,17.3333,42.6667,81.54,71,6,4.7,clear sky
226,Ust-Kuyga,RU,70.0167,135.6,-47.31,99,73,6.91,broken clouds
227,Garden City,US,42.3256,-83.331,30.99,73,100,16.11,overcast clouds
228,Calama,CL,-22.4667,-68.9333,72.09,21,0,19.57,clear sky
229,Ahipara,NZ,-35.1667,173.1667,62.19,96,96,2.91,overcast clouds
230,Wajir,KE,1.7471,40.0573,88.57,32,79,7.0,broken clouds
231,Lagos,NG,6.5833,3.75,84.52,69,100,6.69,overcast clouds
232,Itarema,BR,-2.9248,-39.9167,87.48,50,57,15.52,broken clouds
233,Okakarara,NA,-20.5833,17.4333,86.94,13,26,13.51,scattered clouds
234,Santa Marta,CO,11.2408,-74.199,87.89,56,40,15.01,scattered clouds
235,Pemba,MZ,-12.974,40.5178,79.5,83,75,11.5,broken clouds
236,Terenos,BR,-20.4422,-54.8603,91.11,43,75,10.36,broken clouds
237,Pisco,PE,-13.7,-76.2167,75.25,69,0,11.5,clear sky
238,Constitución,CL,-35.3333,-72.4167,66.88,61,40,11.3,scattered clouds
239,Inyonga,TZ,-6.7167,32.0667,68.0,86,91,5.7,overcast clouds
240,Saint-Augustin,CA,51.226,-58.6502,32.4,81,100,13.71,overcast clouds
241,Kashgar,CN,39.4547,75.9797,20.41,58,6,4.47,clear sky
242,Omaha,US,41.2586,-95.9378,23.52,65,100,21.85,overcast clouds
243,Rio Grande,BR,-32.035,-52.0986,78.91,61,52,18.1,broken clouds
244,Coyhaique,CL,-45.5752,-72.0662,63.21,42,40,10.36,scattered clouds
245,Alofi,NU,-19.0595,-169.9187,71.49,94,100,1.14,light rain
246,Misratah,LY,32.3754,15.0925,68.04,73,0,11.01,clear sky
247,Chui,UY,-33.6971,-53.4616,69.85,52,85,13.22,overcast clouds
248,Kamenka,RU,51.3223,42.7678,36.9,99,100,14.72,overcast clouds
249,Anadyr,RU,64.75,177.4833,25.3,86,100,24.61,light snow
250,Gamba,GA,-2.65,10.0,79.66,80,99,6.85,light rain
251,Durham,US,36.0335,-78.8664,48.61,69,75,6.91,broken clouds
252,Rome,US,43.2128,-75.4557,37.38,87,100,8.05,overcast clouds
253,Makkah al Mukarramah,SA,21.4267,39.8261,78.04,55,0,5.93,clear sky
254,Amurzet,RU,47.6967,131.0981,-11.49,94,94,4.36,overcast clouds
255,Isangel,VU,-19.55,169.2667,75.99,76,6,3.8,clear sky
256,Arrondissement de Saint-Denis,FR,48.9167,2.3333,29.14,89,49,8.05,scattered clouds
257,Ergani,TR,38.2653,39.7621,46.09,58,8,4.63,clear sky
258,Aklavik,CA,68.2191,-135.0107,-2.2,71,75,10.36,broken clouds
259,Pekan,MY,3.4836,103.3996,75.31,92,100,6.64,overcast clouds
260,Taltal,CL,-25.4,-70.4833,68.59,69,1,6.91,clear sky
261,Camacupa,AO,-12.0167,17.4833,67.42,84,94,3.67,moderate rain
262,Sioux Lookout,CA,50.1001,-91.917,17.67,86,100,12.66,light snow
263,Kalāleh,IR,37.3807,55.4916,51.4,87,100,0.0,light rain
264,São Félix do Xingu,BR,-6.6447,-51.995,86.14,62,59,4.0,light rain
265,Narvik,NO,68.4384,17.4272,26.01,91,100,2.84,light snow
266,Armidale,AU,-30.5167,151.65,44.17,93,41,5.5,scattered clouds
267,Barrow,US,71.2906,-156.7887,-7.58,77,0,10.36,clear sky
268,Dordrecht,NL,51.81,4.6736,31.05,85,17,5.01,few clouds
269,Ampanihy,MG,-24.7,44.75,71.22,84,97,9.35,light rain
270,Kankaanpää,FI,61.8,22.4167,27.36,92,100,9.98,light snow
271,Dongsheng,CN,39.8161,109.9776,9.93,40,0,18.45,clear sky
272,Catherinas Lust,GY,6.4,-57.6,74.52,94,100,4.38,overcast clouds
273,Usinsk,RU,65.9939,57.5281,7.84,98,97,10.2,overcast clouds
274,Starobesheve,UA,47.7504,38.0305,45.72,94,99,10.45,overcast clouds
275,Byron Bay,AU,-28.65,153.6167,61.95,79,97,14.32,light rain
276,Naze,JP,28.3667,129.4833,54.52,73,99,26.75,overcast clouds
277,Martapura,ID,-3.4167,114.85,75.29,100,100,3.44,overcast clouds
278,Dekar,BW,-21.5333,21.9333,85.14,28,33,6.29,scattered clouds
279,Oodweyne,SO,9.4092,45.064,63.88,52,4,10.8,clear sky
280,Balkhash,KZ,46.844,74.9804,6.58,86,31,6.96,scattered clouds
281,Alta Floresta,BR,-9.8756,-56.0861,84.29,61,73,3.74,broken clouds
282,Nome,US,64.5011,-165.4064,24.87,36,40,12.66,scattered clouds
283,Asău,RO,46.4333,26.4,34.72,85,99,1.39,overcast clouds
284,Saint Anthony,US,45.0205,-93.218,20.66,84,100,14.97,overcast clouds
285,Fereydūnkenār,IR,36.6864,52.5225,57.42,94,0,0.0,clear sky
286,Great Yarmouth,GB,52.6083,1.7305,38.01,87,67,16.02,broken clouds
287,Jinchang,CN,38.4953,102.1739,19.69,26,0,4.29,clear sky
288,Kastamonu Province,TR,41.5,33.6667,46.8,81,72,2.1,broken clouds
289,Skibbereen,IE,51.55,-9.2667,49.1,76,50,12.91,scattered clouds
290,Rawson,AR,-43.3002,-65.1023,72.09,37,100,12.8,overcast clouds
291,Durban,ZA,-29.8579,31.0292,77.92,90,47,8.01,scattered clouds
292,Sopela,ES,43.3789,-2.9831,56.07,69,0,8.05,clear sky
293,Agadez,NE,19.75,10.25,70.52,20,0,4.99,clear sky
294,Talas,TR,38.6908,35.5538,39.87,93,100,5.75,overcast clouds
295,Haysville,US,37.5645,-97.3523,36.72,43,0,16.11,clear sky
296,Port Augusta,AU,-32.5,137.7667,74.79,25,100,19.37,overcast clouds
297,Myre,NO,69.1036,15.9492,27.9,76,69,4.21,broken clouds
298,Merauke,ID,-8.4667,140.3333,78.53,86,79,4.88,broken clouds
299,Maputo,MZ,-25.9653,32.5892,73.08,93,91,19.13,light rain
300,Leshukonskoye,RU,64.8989,45.7622,5.45,97,67,6.51,broken clouds
301,Katsuura,JP,35.1333,140.3,46.42,89,100,8.97,light rain
302,Haines Junction,CA,60.7522,-137.5108,-13.05,70,60,4.61,broken clouds
303,Imbituba,BR,-28.24,-48.6703,71.96,58,93,6.46,overcast clouds
304,Balkanabat,TM,39.5108,54.3671,48.67,57,27,4.14,scattered clouds
305,Nemuro,JP,43.3236,145.575,34.2,100,100,20.4,light snow
306,Ibiporã,BR,-23.2692,-51.0481,84.92,51,20,9.22,few clouds
307,Mogadishu,SO,2.0371,45.3438,78.91,77,17,19.26,few clouds
308,Benghazi,LY,32.1167,20.0667,70.68,50,0,7.85,clear sky
309,Pacifica,US,37.6138,-122.4869,52.02,74,0,11.99,clear sky
310,Nouadhibou,MR,20.931,-17.0347,76.98,53,9,10.36,clear sky
311,Dunedin,NZ,-45.8742,170.5036,52.81,99,100,1.99,overcast clouds
312,Kurchum,KZ,48.5722,83.6542,14.81,83,100,2.06,overcast clouds
313,Cotonou,BJ,6.3654,2.4183,84.18,79,20,11.5,few clouds
314,Ishikawa,JP,26.4233,127.8214,60.76,58,100,20.71,overcast clouds
315,Nuevo Progreso,MX,23.1667,-97.95,61.47,74,100,5.99,overcast clouds
316,Görele,TR,41.0308,39.0031,56.79,54,6,7.09,clear sky
317,Torbay,CA,47.6666,-52.7314,35.58,93,100,17.27,overcast clouds
318,Port Elizabeth,ZA,-33.918,25.5701,71.1,88,75,5.75,light rain
319,Shelburne,CA,44.0787,-80.2041,30.65,90,95,11.45,overcast clouds
320,Muros,ES,42.7762,-9.0603,56.08,83,92,11.95,overcast clouds
321,Vila do Maio,CV,15.1333,-23.2167,79.59,77,100,14.07,overcast clouds
322,Mto wa Mbu,TZ,-3.35,35.85,76.5,55,99,2.51,overcast clouds
323,Cap Malheureux,MU,-19.9842,57.6142,78.48,69,79,10.0,broken clouds
324,Umm Kaddadah,SD,13.6017,26.6876,71.01,26,45,12.08,scattered clouds
325,Puerto del Rosario,ES,28.5004,-13.8627,69.55,73,20,6.91,few clouds
326,Helong,CN,42.5397,128.9972,-2.2,73,94,10.0,overcast clouds
327,Visnes,NO,59.3556,5.2242,43.21,75,75,19.57,broken clouds
328,Madimba,TZ,-10.4,40.3333,80.08,78,46,8.86,scattered clouds
329,Ekhabi,RU,53.5102,142.9671,3.61,97,100,8.86,overcast clouds
330,San Borja,BO,-14.8167,-66.85,84.33,67,96,6.49,overcast clouds
331,Erāttupetta,IN,9.7,76.7833,76.33,82,80,3.13,broken clouds
332,Rosario,AR,-32.9468,-60.6393,86.95,22,0,9.22,clear sky
333,La Ronge,CA,55.1001,-105.2842,-7.35,71,75,11.5,broken clouds
334,Bihārīganj,IN,25.7333,86.9833,62.98,41,0,5.77,clear sky
335,Hede,CN,33.7681,120.2517,25.25,27,0,12.03,clear sky
336,Chilca,PE,-12.5211,-76.7372,71.17,78,58,9.13,broken clouds
337,Laas,IT,46.6166,10.7002,31.08,43,6,3.4,clear sky
338,Atlantic City,US,39.3643,-74.4229,47.12,48,0,16.11,clear sky
339,Faya,SA,18.3851,42.4509,57.72,38,1,9.64,clear sky
340,The Valley,AI,18.217,-63.0578,84.06,69,20,16.11,few clouds
341,Chippewa Falls,US,44.9369,-91.3929,24.98,91,100,10.36,overcast clouds
342,Shache,CN,38.4167,77.2406,20.3,51,0,1.77,clear sky
343,Sibolga,ID,1.7427,98.7792,76.12,90,100,1.86,overcast clouds
344,Guamal,CO,9.1433,-74.2238,89.6,53,94,1.72,overcast clouds
345,Gijang,KR,35.2442,129.2139,24.53,43,4,12.59,clear sky
